Name,No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft),,,,,
Nolan Gordon,1,1/22/2026,1769114580,Fastball,N,0.49,53.72,81.18,2120.92,2023.1,95.39,1:22,0.8,28.5,13.3,-,-,16,13.9,-2.94,1,4.74,1.66,17.47,1558124@1769114580,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.986440222,,,,,
Nolan Gordon,2,1/22/2026,1769114560,Fastball,N,3.32,25.82,81.77,2075.32,1966.3,94.75,1:16,0.8,7.5,10.1,-,-,15.9,12.6,-2.71,0.39,4.62,1.92,18.65,1558124@1769114560,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.597473875,,,,,
Nolan Gordon,3,1/22/2026,1769114542,Fastball,N,-11.89,41.26,82.76,2152.55,2035.9,94.58,1:14,0.9,14.2,13.3,-,-,16.4,12.4,-4.25,1.13,4.61,1.8,18.95,1558124@1769114542,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.493414491,,,,,
Nolan Gordon,4,1/22/2026,1769114507,Fastball,Y,2.73,38.76,82.29,2095.63,1951.5,93.12,1:16,0.9,14.2,10,-,-,15.8,12.5,-2.61,0.82,4.74,1.8,21.37,1558124@1769114507,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.237624521,,,,,
Nolan Gordon,5,1/22/2026,1769114470,Slider,Y,-1.9,24.28,70.64,2166.57,889.3,41.05,10:32,0.9,5.4,-8.4,-,-,7.3,-7.9,-1.26,1.51,4.87,1.72,65.77,1558124@1769114470,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.858188548,,,,,
Nolan Gordon,6,1/22/2026,1769114458,Fastball,Y,-12.45,27.61,82.5,2149.02,1844.6,85.83,12:58,0.9,11.2,10.5,-,-,16.4,8.8,-4.34,0.29,4.5,2.08,30.87,1558124@1769114458,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.501180303,,,,,
Nolan Gordon,7,1/22/2026,1769114440,Slider,N,-10.64,15.92,71.63,2202.58,973.8,44.21,10:36,0.9,4,-6.9,-,-,8.1,-7.9,-2.1,0.67,4.93,1.63,63.76,1558124@1769114440,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.193970767,,,,,
Nolan Gordon,8,1/22/2026,1769114427,Slider,Y,5.38,18.88,69.58,2033.64,804.2,39.55,10:12,0.9,2.1,-10,-,-,5.7,-8.6,-0.6,1.74,4.67,1.84,66.71,1558124@1769114427,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.023248046,,,,,
Nolan Gordon,9,1/22/2026,1769114390,Fastball,Y,7.54,35.81,82.16,2161.09,2007.8,92.9,1:24,1,17,12.4,-,-,15.1,13.6,-2.39,0.42,4.66,1.8,21.71,1558124@1769114390,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.184321385,,,,,
Nolan Gordon,10,1/22/2026,1769114336,Slider,N,10.83,24.37,74.64,2240.35,1106.6,49.4,11:42,0.9,10.9,-1.6,-,-,11.6,-2.6,-1.03,0.84,4.56,2,60.4,1558124@1769114336,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.920703026,,,,,
Nolan Gordon,11,1/22/2026,1769114320,Fastball,N,12.3,33.88,83.07,2193.29,2089.4,95.26,1:10,0.9,15.1,9.6,-,-,17.5,12.3,-1.58,0.14,4.88,1.7,17.7,1558124@1769114320,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.735969302,,,,,
Nolan Gordon,12,1/22/2026,1769114289,Fastball,Y,-5.92,21.35,81.67,2036.73,1841.4,90.41,1:18,0.8,9.3,6.1,-,-,14.7,12,-2.87,-0.36,4.78,1.62,25.3,1558124@1769114289,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.727127276,,,,,
Nolan Gordon,13,1/22/2026,1769114268,Fastball,Y,16.95,49.17,81.04,2075.98,1928.3,92.88,1:20,0.9,14.2,12.3,-,-,15.2,12.6,-1.42,1.99,4.61,1.69,21.75,1558124@1769114268,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.652222541,,,,,
Nolan Gordon,14,1/22/2026,1769114253,Fastball,N,24.46,42.98,81.87,2029.52,1911.3,94.18,1:22,1,17.1,11.9,-,-,15.1,13.1,-0.78,1.19,4.51,1.77,19.65,1558124@1769114253,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.343949195,,,,,
Nolan Gordon,15,1/22/2026,1769114241,Slider,N,15.99,17.53,69.7,1884.79,747.4,39.65,10:32,0.9,2,-6.3,-,-,6.7,-7.1,0.14,1.49,4.73,1.73,66.64,1558124@1769114241,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.322216184,,,,,
Nolan Gordon,16,1/22/2026,1769114228,Fastball,Y,-4.94,41.13,83.22,2063.23,1772.2,85.89,1:28,0.9,14,8,-,-,13.2,12.5,-3.02,1.04,4.68,1.7,30.8,1558124@1769114228,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.231047672,,,,,
Jake Harmony,6,1/23/2026,1769200101,Fastball,Y,6.44,20.83,84.35,1804.3,1802.4,99.9,1:56,1,10.3,15.6,-,-,10,16.4,-1.2,-1.23,4.92,0.29,2.61,1123229@1769200101,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,0,,,,,
Jake Harmony,7,1/23/2026,1769199537,Slider,N,32.18,41.36,80.29,2014.1,494.7,24.56,11:46,0.9,5.4,4.3,-,-,5.3,-1.4,0.85,1.33,5.35,1.55,75.78,1123229@1769199537,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.629419462,,,,,
Jake Harmony,8,1/23/2026,1769199526,Fastball,Y,19.6,41.63,88.9,2208.2,2081.9,94.28,1:26,0.8,9.5,19.4,-,-,14.5,13.4,-1.77,0.35,5.25,1.63,19.47,1123229@1769199526,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.740931774,,,,,
Jake Harmony,9,1/23/2026,1769199515,Fastball,N,2.76,33.37,88.76,2128.84,2012.4,94.53,1:28,0.8,5.3,20.6,-,-,14.5,14.1,-3.36,0.31,5.09,1.64,19.04,1123229@1769199515,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.843651898,,,,,
Jake Harmony,10,1/23/2026,1769199502,Fastball,N,14.49,23.96,84.15,1945.19,1829.6,94.06,1:26,0.8,9.8,17.9,-,-,14.3,13.2,-2.04,-0.86,5.23,1.59,19.85,1123229@1769199502,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.465642794,,,,,
Jake Harmony,11,1/23/2026,1769199436,Fastball,Y,-5.92,17.83,86.92,2242.94,2242.1,99.96,1:54,1,13.2,18.7,-,-,12.3,18.6,-3.48,-1.5,4.9,1.17,1.54,1123229@1769199436,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.930471304,,,,,
Jake Harmony,12,1/23/2026,1769199412,ChangeUp,N,-16.47,1.01,79.27,1671.91,1595,95.4,2:38,0.9,7.1,15.7,-,-,3.9,18.9,-4.33,-1.67,4.69,1.29,-17.44,1123229@1769199412,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.560002735,,,,,
Jake Harmony,13,1/23/2026,1769199399,Fastball,Y,-4.29,16,86.18,1961.44,1954.4,99.64,1:58,0.9,12.7,15.5,-,-,10.8,18.1,-3.14,-1.52,4.86,1.26,4.85,1123229@1769199399,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.909927257,,,,,
Jake Harmony,14,1/23/2026,1769199362,Slider,Y,-20.28,16.8,77.42,2114.57,693.7,32.81,12:02,0.9,7,2.5,-,-,7.7,-0.6,-3.42,-0.01,4.75,1.27,70.85,1123229@1769199362,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.902956173,,,,,
Jake Harmony,15,1/23/2026,1769199341,Fastball,Y,4.41,33.92,85.9,2049.92,1973.8,96.29,2:00,0.8,19.9,16,-,-,10.1,18,-2.39,-0.49,4.85,1.26,15.66,1123229@1769199341,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.705275256,,,,,
Jake Harmony,16,1/23/2026,1769199326,Fastball,N,-10.44,29.62,86.19,2022.84,2022.7,99.99,1:56,0.9,13.8,16,-,-,11.3,18.4,-3.76,-0.36,4.85,1.28,-0.76,1123229@1769199326,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.815492223,,,,,
Jake Harmony,17,1/23/2026,1769199296,Fastball,Y,7.12,28.27,85.92,2053.69,2048.4,99.74,1:58,1,11,19,-,-,11.1,18.2,-2.45,-0.26,4.84,1.27,4.11,1123229@1769199296,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.129378731,,,,,
Jake Harmony,18,1/23/2026,1769199282,Fastball,N,-14.85,14.26,86.19,2097.79,2094.7,99.85,1:56,0.9,16.5,13.7,-,-,11.6,18.2,-3.93,-2.08,4.88,1.24,3.1,1123229@1769199282,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.191254923,,,,,
Jake Harmony,19,1/23/2026,1769199256,ChangeUp,Y,24.88,15.4,80.58,1680.31,1458.4,86.8,2:52,0.8,-2.8,14.4,-,-,1.2,17.7,-0.51,0.53,4.68,1.34,-29.78,1123229@1769199256,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.047096162,,,,,
Jake Harmony,20,1/23/2026,1769199232,Fastball,N,-2.96,27.99,87.66,2107.65,2105.6,99.9,2:24,0.8,11,13.9,-,-,6.4,20.3,-2.84,-0.27,4.74,1.21,2.52,1123229@1769199232,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.071476182,,,,,
Jake Harmony,21,1/23/2026,1769199203,Fastball,Y,8.53,40.2,87.8,2085.25,2084.1,99.95,1:54,0.9,15,15.3,-,-,11.6,18.4,-2,0.44,4.82,1.31,1.89,1123229@1769199203,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.443878382,,,,,
Jake Harmony,22,1/23/2026,1769199176,Fastball,N,6.84,24.53,87.21,2271.63,2263.8,99.65,1:50,0.9,9.8,20.1,-,-,12.9,18.5,-2.48,-0.45,4.84,1.21,4.77,1123229@1769199176,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.392427528,,,,,
Jake Harmony,23,1/23/2026,1769199161,Fastball,Y,8.47,23.91,87.81,2189.57,2188.3,99.94,1:54,0.9,10,16.7,-,-,11.8,18.4,-2.08,-0.54,4.75,1.24,1.97,1123229@1769199161,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.896323005,,,,,
Jake Harmony,24,1/23/2026,1769199144,ChangeUp,N,25.04,16.05,79.57,1589.18,1446.9,91.05,2:48,0.8,4.6,11.8,-,-,1.9,18.1,-0.34,0.14,4.53,1.42,-24.43,1123229@1769199144,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,6.046094929,,,,,
Jake Harmony,25,1/23/2026,1769199131,Fastball,Y,-3.93,13.22,87.68,2091.02,2090.2,99.96,1:58,0.9,10.5,18.4,-,-,11,18.6,-3.37,-1.5,4.72,1.27,1.62,1123229@1769199131,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.83306386,,,,,
Jake Harmony,26,1/23/2026,1769199102,Fastball,N,-1.72,22.51,86.53,2030.12,2023.5,99.68,1:50,0.9,13.2,15.4,-,-,12.3,17.4,-2.74,-0.84,4.75,1.13,4.62,1123229@1769199102,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.836868545,,,,,
Jake Harmony,27,1/23/2026,1769199086,Slider,Y,-16.42,17.99,78.7,2248.12,625,27.8,12:06,0.9,9.1,2.5,-,-,6.9,-0.5,-3.14,0.07,4.64,1.4,73.86,1123229@1769199086,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,4.96083358,,,,,
Jake Harmony,28,1/23/2026,1769199071,Fastball,Y,14.42,27.57,86.98,1973.88,1967,99.65,1:54,0.9,15,14.4,-,-,11.3,17.7,-1.32,-0.61,4.76,1.23,4.79,1123229@1769199071,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.804610073,,,,,
Jake Harmony,29,1/23/2026,1769199036,Fastball,N,19.94,38.34,83.68,2099.75,2094,99.72,1:50,0.8,6.9,16.4,-,-,12.5,18.2,-1.02,1.32,4.84,1.26,4.26,1123229@1769199036,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.531235951,,,,,
Jake Harmony,30,1/23/2026,1769199025,Slider,Y,-10.33,16.94,77.62,2333.26,665.2,28.51,11:26,0.9,5.5,-2.9,-,-,6.8,-3,-2.19,0.33,4.67,1.45,73.44,1123229@1769199025,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.143214406,,,,,
Jake Harmony,31,1/23/2026,1769199013,Slider,Y,-13.17,19.83,76.69,2227.88,554.8,24.9,11:48,0.9,4.5,-4.6,-,-,6.1,-1.6,-2.27,0.72,4.72,1.42,75.58,1123229@1769199013,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.075656218,,,,,
Jake Harmony,32,1/23/2026,1769199000,Fastball,Y,-11.14,28.84,85.21,2108.13,2106.5,99.92,1:54,0.9,14.6,14.7,-,-,12,18.9,-3.6,-0.32,4.84,1.22,2.23,1123229@1769199000,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.365744672,,,,,
Jake Harmony,33,1/23/2026,1769198986,Fastball,Y,-3.3,19.86,85.07,2106.82,2102.2,99.78,1:54,0.9,10.5,17.3,-,-,12,18.6,-3.28,-0.79,4.87,1.35,3.79,1123229@1769198986,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.450805662,,,,,
Evan  Scully,4,1/24/2026,1769267152,Fastball,Y,8.06,28.73,88.47,2078.02,1980.3,95.3,2:00,0.9,6.1,19.5,-,-,9.9,17.5,-3.71,-0.08,4.98,2.48,17.64,1028567@1769267152,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.906979878,,,,,
Evan  Scully,5,1/24/2026,1769267126,Slider,N,-1.84,4.02,78.65,2771.24,2756.7,99.48,7:30,0.5,-18.2,-13,-,-,-16.3,-17.2,-1.67,1.39,4.26,2.42,5.87,1028567@1769267126,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,0,,,,,
Evan  Scully,6,1/24/2026,1769267102,Slider,Y,-5.59,-1.07,79.63,1902.68,1534.7,80.66,6:34,0.5,-26.4,-10.5,-,-,-14.5,-5.8,-2.32,1.59,4.29,2.47,36.23,1028567@1769267102,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,0,,,,,
Evan  Scully,7,1/24/2026,1769267071,Slider,Y,1.7,21.97,79.47,1869.85,332.7,17.79,9:06,0.9,0.5,-0.7,-,-,0.4,-4.8,-2.59,1.23,4.6,2.62,79.75,1028567@1769267071,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.52632991,,,,,
Evan  Scully,8,1/24/2026,1769267051,Fastball,Y,-6.63,18.7,87.01,2171.29,2032.5,93.61,1:18,0.8,7.6,16.5,-,-,15.8,13,-4.64,-1.1,5.04,2.38,20.6,1028567@1769267051,RCE20XCXR30R,,,,,,,,,,,,,,,-,-,untitled,-,5.988380111,,,,,
